IBOV - Carteira do Dia 22/06/22
Setor;Cádigo;Aááo;Tipo;Qtde. Teárica;Part. (%);Part. (%)Acum.
Mats Básicos / Sid Metalurgia;USIM5;USIMINAS;PNA     N1;514.680.651;0,256;2,663;
Petráleo/ Gás e Biocombustáveis;RRRP3;3R PETROLEUM;ON      NM;200.372.163;0,400;15,613;
Petráleo/ Gás e Biocombustáveis;CSAN3;COSAN;ON      NM;1.171.063.698;1,183;15,613;
Petráleo/ Gás e Biocombustáveis;PETR3;PETROBRAS;ON      N2;2.706.334.382;4,430;15,613;
Petráleo/ Gás e Biocombustáveis;PETR4;PETROBRAS;PN      N2;4.566.442.248;6,774;15,613;
Petráleo/ Gás e Biocombustáveis;PRIO3;PETRORIO;ON      NM;839.159.130;1,045;15,613;
Petráleo/ Gás e Biocombustáveis;UGPA3;ULTRAPAR;ON      NM;1.086.067.887;0,725;15,613;
Petráleo/ Gás e Biocombustáveis;VBBR3;VIBRA;ON      NM;1.131.883.365;1,056;15,613;
Saáde/Comárcio Distr.;HYPE3;HYPERA;ON      NM;410.253.528;0,843;1,947;
Saáde/Comárcio Distr.;RADL3;RAIADROGASIL;ON      NM;1.071.076.905;1,104;1,947;
Saáde/SM Hosp An.Diag;FLRY3;FLEURY;ON      NM;303.373.882;0,239;3,139;
Saáde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON      NM;4.454.692.382;1,396;3,139;
Saáde/SM Hosp An.Diag;QUAL3;QUALICORP;ON      NM;277.027.077;0,223;3,139;
Saáde/SM Hosp An.Diag;RDOR3;REDE D OR;ON      NM;772.010.260;1,281;3,139;
Tec.Informaááo/Programas Servs;LWSA3;LOCAWEB;ON      NM;418.965.264;0,124;0,844;
Tec.Informaááo/Programas Servs;CASH3;MELIUZ;ON      NM;548.153.725;0,035;0,844;
Tec.Informaááo/Programas Servs;TOTS3;TOTVS;ON      NM;519.851.955;0,685;0,844;
Telecomunicaááo;VIVT3;TELEF BRASIL;ON;413.890.875;1,067;1,627;
Telecomunicaááo;TIMS3;TIM;ON      NM;808.619.532;0,560;1,627;
Utilidade Pábl / água Saneamento;SBSP3;SABESP;ON      NM;340.001.934;0,753;0,753;
Utilidade Pábl / Energ Elátrica;CMIG4;CEMIG;PN      N1;1.448.479.060;0,845;7,583;
Utilidade Pábl / Energ Elátrica;CPLE6;COPEL;PNB     N2;1.563.365.506;0,589;7,583;
Utilidade Pábl / Energ Elátrica;CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,333;7,583;
Utilidade Pábl / Energ Elátrica;ELET3;ELETROBRAS;ON      N1;358.028.908;0,863;7,583;
Utilidade Pábl / Energ Elátrica;ELET6;ELETROBRAS;PNB     N1;242.987.127;0,579;7,583;
Utilidade Pábl / Energ Elátrica;ENBR3;ENERGIAS BR;ON      NM;230.931.405;0,263;7,583;
Utilidade Pábl / Energ Elátrica;ENGI11;ENERGISA;UNT     N2;248.477.689;0,592;7,583;
Utilidade Pábl / Energ Elátrica;ENEV3;ENEVA;ON      NM;1.257.479.978;1,023;7,583;
Utilidade Pábl / Energ Elátrica;EGIE3;ENGIE BRASIL;ON      NM;255.217.329;0,584;7,583;
Utilidade Pábl / Energ Elátrica;EQTL3;EQUATORIAL;ON      NM;1.100.513.485;1,435;7,583;
Utilidade Pábl / Energ Elátrica;TAEE11;TAESA;UNT     N2;218.568.234;0,477;7,583;
Quantidade Teárica Total;;;;96.048.759.208;100,000;100,000
Redutor;;;;18.306.448,98312369
